Final patched KSP GameData PART inventory: 1439 parts
Source: ModuleManager.ConfigCache

0001 | ALCOR_LanderCapsule | ALCOR Pod(A) | cat=Pods | mass=1.800000 t | bulk=size1 | engines=- | gimbal=- deg | ASET/ALCOR/Part/ALCOR.cfg
0021 | benjee10_shuttle_aftFuselage | OV-100 Aft Fuselage Module | cat=Structural | mass=2.400000 t | bulk=mk3 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_aftFuselage.cfg
0022 | benjee10_shuttle_airlock-inline | OV-100 Payload Bay Inline Airlock | cat=Utility | mass=0.300000 t | bulk=size1 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_airlock-inline.cfg
0023 | benjee10_shuttle_bodyFlap | OV-100 Body Flap | cat=Aero | mass=0.230000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_bodyFlap.cfg
0024 | benjee10_shuttle_crewTube1 | OV-100 Payload Bay Crew Tunnel A | cat=Structural | mass=0.200000 t | bulk=size1 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_crewTube1.cfg
0025 | benjee10_shuttle_crewTube2 | OV-100 Payload Bay Crew Tunnel B | cat=Structural | mass=0.400000 t | bulk=size1 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_crewTube2.cfg
0026 | benjee10_shuttle_crewTubeAdapter | OV-100 Payload Bay Crew Tunnel Adapter | cat=Structural | mass=0.100000 t | bulk=size1 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_crewTubeAdapter.cfg
0027 | benjee10_shuttle_crewTubeT | OV-100 Payload Bay Crew Tunnel T | cat=Structural | mass=0.300000 t | bulk=size1 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_crewTubeT.cfg
0028 | benjee10_shuttle_crewTubeZ | OV-100 Payload Bay Crew Tunnel Z | cat=Structural | mass=0.350000 t | bulk=size1 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_crewTubeZ.cfg
0029 | benjee10_shuttle_deltaWing | OV-100 Delta Wing | cat=Aero | mass=0.800000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_deltaWing.cfg
0030 | benjee10_shuttle_elevon1 | OV-100 Outer Elevon | cat=Aero | mass=0.120000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_elevon1.cfg
0031 | benjee10_shuttle_elevon2 | OV-100 Inner Elevon | cat=Aero | mass=0.230000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_elevon2.cfg
0032 | benjee10_shuttle_forwardFuselage | OV-100 Forward Fuselage Module | cat=Pods | mass=4.300000 t | bulk=mk3 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_forwardFuselage.cfg
0033 | benjee10_shuttle_kuBand | OV-100 Ku Band Antenna | cat=Communication | mass=0.200000 t | bulk=size0 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_kuBand.cfg
0034 | benjee10_shuttle_longeron | OV-100 Payload Bay Longeron Attachment Point | cat=Structural | mass=0.050000 t | bulk=size0 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_longeron.cfg
0035 | benjee10_shuttle_mainGear | OV-100 Main Gear | cat=Ground | mass=0.070000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_mainGear.cfg
0036 | benjee10_shuttle_midFuselage | OV-100 Mid Fuselage Section | cat=Payload | mass=5.000000 t | bulk=mk3 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_midFuselage.cfg
0037 | benjee10_shuttle_noseGear | OV-100 Nose Gear | cat=Ground | mass=0.045000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_noseGear.cfg
0038 | benjee10_shuttle_ODS | OV-100 Payload Bay Docking Adapter | cat=Utility | mass=0.500000 t | bulk=mk3 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_ODS.cfg
0039 | benjee10_shuttle_payloadTruss | OV-100 Payload Bay Structural Truss | cat=Structural | mass=0.200000 t | bulk=size0 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_payloadTruss.cfg
0040 | benjee10_shuttle_rudder | OV-100 Vertical Stabilizer | cat=Aero | mass=0.480000 t | bulk=srf | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_rudder.cfg
0041 | benjee10_shuttle_spaceLab | OV-100 Payload Bay Research Module Type A | cat=Science | mass=4.000000 t | bulk=size1, size2 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_spaceLab.cfg
0042 | benjee10_shuttle_spaceLab_Short | OV-100 Payload Bay Research Module Type B | cat=Science | mass=2.500000 t | bulk=size1, size2 | engines=- | gimbal=- deg | Benjee10_shuttleOrbiter/Parts/OV_spaceLab_short.cfg
0043 | conformaldecals-flag | CDL-F Flag Decal | cat=Structural | mass=0.000500 t | bulk=srf | engines=- | gimbal=- deg | ConformalDecals/Parts/decal-flag.cfg
0044 | conformaldecals-text | CDL-T Text Decal | cat=Structural | mass=0.000500 t | bulk=srf | engines=- | gimbal=- deg | ConformalDecals/Parts/decal-text.cfg
0045 | conformaldecals-generic | CDL-1 Generic Decal | cat=Structural | mass=0.000500 t | bulk=srf | engines=- | gimbal=- deg | ConformalDecals/Parts/Generic/decal-generic.cfg
0046 | conformaldecals-munar | CDL-3 Surface Base Decal | cat=Structural | mass=0.000500 t | bulk=srf | engines=- | gimbal=- deg | ConformalDecals/Parts/Munar/decal-munar.cfg
0047 | conformaldecals-semiotic | CDL-2 Semiotic Standard Decal | cat=Structural | mass=0.000500 t | bulk=srf | engines=- | gimbal=- deg | ConformalDecals/Parts/Semiotic/decal-semiotic.cfg
0048 | ht_canadarm2_boom | KerboArm2 Structural Boom Unit | cat=Structural | mass=0.050000 t | bulk=size1, srf | engines=- | gimbal=- deg | htRobotics/Parts/ht_canadarm2_boom.cfg
0049 | ht_canadarm2_LEE | KerboArm2 Latching End Effector | cat=Coupling | mass=0.060000 t | bulk=size1, srf | engines=- | gimbal=- deg | htRobotics/Parts/ht_canadarm2_LEE.cfg
0050 | ht_canadarm2_servo | KerboArm2 Servo Joint | cat=Robotics | mass=0.060000 t | bulk=size1 | engines=- | gimbal=- deg | htRobotics/Parts/ht_canadarm2_servo.cfg
0051 | ht_JEM_RMS_boom | KerboArm Mini Structural Boom Unit | cat=Structural | mass=0.030000 t | bulk=size0, srf | engines=- | gimbal=- deg | htRobotics/Parts/ht_JEM_RMS_boom.cfg
0052 | ht_JEM_RMS_servo | KerboArm Mini Servo Joint | cat=Robotics | mass=0.020000 t | bulk=size0 | engines=- | gimbal=- deg | htRobotics/Parts/ht_JEM_RMS_servo.cfg
0053 | ht_C1_boom | KerboArm1 Structural Boom Unit | cat=Structural | mass=0.016000 t | bulk=size1 | engines=- | gimbal=- deg | htRobotics/Parts/htC1boom.cfg
0054 | ht_C1_elbow | KerboArm1 Elbow Servo Joint | cat=Robotics | mass=0.016000 t | bulk=size1 | engines=- | gimbal=- deg | htRobotics/Parts/htC1elbow.cfg
0055 | ht_C1_LEE | KerboArm1 Latching End Effector | cat=Coupling | mass=0.040000 t | bulk=size1, srf | engines=- | gimbal=- deg | htRobotics/Parts/htC1LEE.cfg
0056 | ht_C1_pitch | KerboArm1 Servo Pitch Joint | cat=Robotics | mass=0.016000 t | bulk=size1 | engines=- | gimbal=- deg | htRobotics/Parts/htC1pitch.cfg
0057 | ht_C1_rotator | KerboArm1 Axial Servo Joint | cat=Robotics | mass=0.016000 t | bulk=size1 | engines=- | gimbal=- deg | htRobotics/Parts/htC1rotator.cfg
0058 | ht_grappleFixture | HT-FRGS Grapple Fixture | cat=Coupling | mass=0.020000 t | bulk=size0, srf | engines=- | gimbal=- deg | htRobotics/Parts/htGrappleFixture.cfg
0059 | ht_grappleFixtureKibo | HT-EMGF Experiment Grapple Fixture | cat=Coupling | mass=0.020000 t | bulk=size0, srf | engines=- | gimbal=- deg | htRobotics/Parts/htGrappleFixtureKibo.cfg
0060 | ht_PDGF | HT-PDGF Power-Data Grapple Fixture | cat=Coupling | mass=0.020000 t | bulk=size1, srf | engines=- | gimbal=- deg | htRobotics/Parts/htPDGF.cfg
0061 | aerocam180 | Aerocam 180 | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/aerocam/aerocam180.cfg
0062 | aerocam | Aerocam | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/aerocam/part.cfg
0063 | hc_booster | BoosterCam | cat=Utility | mass=0.005000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_booster/part.cfg
0064 | hc_kazzelblad | BoosterCam | cat=Utility | mass=0.005000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_kazzelblad/part.cfg
0065 | hc_launchcam | KSC Launchpad Camera | cat=Utility | mass=0.500000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_launchcam/part.cfg
0066 | hc_navcam | NavCam | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_navcam/part.cfg
0067 | hc_nightvision | Nightvisioncam | cat=Utility | mass=0.005000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_nightvision/part.cfg
0068 | hc_scicam | ScienceCam | cat=Utility | mass=0.005000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_scicam/part.cfg
0069 | hc_wideangle | Wide Angle Cam | cat=Utility | mass=0.005000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hc_wideangle/part.cfg
0070 | mumech_hullcam | Basic Hull Camera Deluxe | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/hullcam_hubbazoot/part.cfg
0071 | kerbpro | KerbPro | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/MSIKerbPro/part.cfg
0072 | DC_aerocam2 | Aerocam UP | cat=Utility | mass=0.004000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/aerocam.cfg
0073 | DC_aerocam2_180 | Aerocam DN | cat=Utility | mass=0.004000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/aerocam180.cfg
0074 | DC_ChemCam | ChemCam | cat=Science | mass=0.007000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/ChemCam.cfg
0075 | DC_munCam | MunCam | cat=Utility | mass=0.008000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/MunCam.cfg
0076 | DC_RoverCam | NavCam | cat=Utility | mass=0.012000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/RoverCam.cfg
0077 | DC_smallCam | HazCam | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/smallCam.cfg
0078 | DC_smallCam_Wide | HazCam SuperWide | cat=Utility | mass=0.001000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/smallCam_wide.cfg
0079 | DC_TurretCam | TurretCam | cat=Utility | mass=0.040000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/new_cams/TurretCam.cfg
0080 | Telescope | Ordan Industrial Pictozoom 1000 Series | cat=Science | mass=0.500000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/Telescope/part.cfg
0081 | Pictozoom_2000 | Ordan Industrial KOMMAND-R Pictozoom 2000 Series Variable Aperture Spectograph Net | cat=Science | mass=2.000000 t | bulk=srf | engines=- | gimbal=- deg | HullCameraVDS/Parts/TelescopeLarge/part.cfg
0082 | JSIPrimitiveExternalCamera_v2 | JSI External Radial-mount Camera | cat=Utility | mass=0.004000 t | bulk=None | engines=- | gimbal=- deg | JSI/RasterPropMonitor/Library/Parts/ExternalCameraPart/external-camera-v2.cfg
0083 | JSIPrimitiveExternalCamera | JSI External Radial-mount Camera | cat=none | mass=0.004000 t | bulk=None | engines=- | gimbal=- deg | JSI/RasterPropMonitor/Library/Parts/ExternalCameraPart/external-camera.cfg
0084 | KRE-AeroLeg-L | LT-37L Landing Gear | cat=Ground | mass=0.800000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/AeroLandingLegs/AeroLandingLeg-L.cfg
0085 | KRE-AeroLeg-M | LT-37M Landing Gear | cat=Ground | mass=0.200000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/AeroLandingLegs/AeroLandingLeg-M.cfg
0086 | ITSLeg-L-KRE | LT-37L Landing Gear | cat=none | mass=0.800000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/AeroLandingLegs/old/AeroLandingLeg-L.cfg
0087 | ITSLeg-M-KRE | LT-37M Landing Gear | cat=none | mass=0.200000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/AeroLandingLegs/old/AeroLandingLeg-M.cfg
0088 | BoosterWingKRE | Deployable Wing | cat=Aero | mass=0.700000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/BoosterWing/BoosterWing.cfg
0089 | BoosterWingsMountKRE | Deployable Wing Base | cat=Aero | mass=1.000000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/BoosterWing/BoosterWingsMount.cfg
0090 | HotGasThruster-L | Advanced Vernier Thruster Large | cat=Control | mass=0.150000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/ColdGasThruster/ColdGasThruster-L.cfg
0091 | HotGasThruster-M | Advanced Vernier Thruster Medium | cat=Control | mass=0.090000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/ColdGasThruster/ColdGasThruster-M.cfg
0092 | CapsuleDockingPort1 | Aerodynamic Docking Port | cat=Coupling | mass=0.100000 t | bulk=size1 | engines=- | gimbal=- deg | KerbalReusabilityExpansion/DockingPort/DockingPort.cfg
0093 | SmallCapsuleEngine | SuperDraco Engine | cat=Engine | mass=0.200000 t | bulk=srf | engines=- 90 kN | gimbal=- deg | KerbalReusabilityExpansion/Engine/Engine.cfg
0094 | SmallCapsuleEngineRCS | SuperDraco Engine RCS | cat=Engine | mass=0.250000 t | bulk=srf | engines=- 90 kN | gimbal=- deg | KerbalReusabilityExpansion/Engine/EngineRCS.cfg
0095 | DragonFuelTank | Dragon Fuel Tank | cat=FuelTank | mass=0.180000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/FuelTank/FuelTank.cfg
0096 | Grid Fin L | Grid Fin Large | cat=Aero | mass=0.350000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/GridFins/GridFin L.cfg
0097 | Grid Fin M | Grid Fin Medium | cat=Aero | mass=0.200000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/GridFins/GridFin M.cfg
0098 | Grid Fin S | Grid Fin Small | cat=Aero | mass=0.050000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/GridFins/GridFin S.cfg
0099 | Grid Fin L Titanium | T-222 "Nemesis" Grid Fin Large | cat=Aero | mass=0.700000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/GridFinsTitanium/GridFin Titanium L.cfg
0100 | Grid Fin M Titanium | T-222 "Nemesis" Grid Fin Medium | cat=Aero | mass=0.400000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/GridFinsTitanium/GridFin Titanium M.cfg
0101 | Grid Fin S Titanium | T-222 "Nemesis" Grid Fin Small | cat=Aero | mass=0.100000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/GridFinsTitanium/GridFin Titanium S.cfg
0102 | Heatshield-M | Dragon Heat Shield | cat=Thermal | mass=0.600000 t | bulk=size2 | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HeatShield/HeatShield-M.cfg
0103 | KRE-HexLegsMountL | Glenn Leg Mount Large | cat=Ground | mass=0.150000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/HexLegMountL.cfg
0104 | KRE-HexLegsMountM | Glenn Leg Mount Medium | cat=Ground | mass=0.100000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/HexLegMountM.cfg
0105 | KRE-HexLegsL | Glenn Legs Large | cat=Ground | mass=0.150000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/HexLegsL.cfg
0106 | KRE-HexLegsM | Glenn Legs Medium | cat=Ground | mass=0.100000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/HexLegsM.cfg
0107 | HexLegsMountL | Glenn Leg Mount Large | cat=none | mass=0.150000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/old/HexLegMountL.cfg
0108 | HexLegsMountM | Glenn Leg Mount Medium | cat=none | mass=0.100000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/old/HexLegMountM.cfg
0109 | HexLegsL | Glenn Legs Large | cat=none | mass=0.150000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/old/HexLegsL.cfg
0110 | HexLegsM | Glenn Legs Medium | cat=none | mass=0.100000 t | bulk=size2, srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/HexLegs/old/HexLegsM.cfg
0111 | ShepardLeg-M | Shepard Leg Medium | cat=none | mass=0.150000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/ShepardLegs/old/ShepardLegs-M.cfg
0112 | ShepardLeg-S | Shepard Leg Small | cat=none | mass=0.070000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/ShepardLegs/old/ShepardLegs-S.cfg
0113 | KRE-ShepardLeg-M | New Shepard Landing Leg Medium | cat=Ground | mass=0.150000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/ShepardLegs/ShepardLegs-M.cfg
0114 | KRE-ShepardLeg-S | New Shepard Landing Leg Small | cat=Ground | mass=0.070000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/ShepardLegs/ShepardLegs-S.cfg
0115 | KRE-FalconLeg-L | Falcon Landing Gear Large | cat=Ground | mass=0.550000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/FalconLegs-L.cfg
0116 | KRE-FalconLeg-M | Falcon Landing Gear Medium | cat=Ground | mass=0.250000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/FalconLegs-M.cfg
0117 | KRE-FalconLeg-S | Falcon Landing Gear Small | cat=Ground | mass=0.150000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/FalconLegs-S.cfg
0118 | SpaceXLegs-XL | Falcon Landing Gear Large | cat=none | mass=0.550000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/old/SpaceXLegs-L.cfg
0119 | SpaceXLegs-L | Falcon Landing Gear Medium | cat=none | mass=0.250000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/old/SpaceXLegs-M.cfg
0120 | SpaceXLegs-S | Falcon Landing Gear Small | cat=none | mass=0.150000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/old/SpaceXLegs-S.cfg
0121 | KRE-FalconLegMk2-L | Falcon Landing Gear Mk2 Large | cat=Ground | mass=0.550000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/StageLegsMk2-L.cfg
0122 | KRE-FalconLegMk2-M | Falcon Landing Gear Mk2 Medium | cat=Ground | mass=0.250000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/StageLegs/StageLegsMk2-M.cfg
0123 | TrunkServiceModule | Trunk | cat=Payload | mass=0.300000 t | bulk=size2 | engines=- | gimbal=- deg | KerbalReusabilityExpansion/Trunk/Trunk.cfg
0124 | TrunkFin | Trunk Fin | cat=Aero | mass=0.010000 t | bulk=srf | engines=- | gimbal=- deg | KerbalReusabilityExpansion/Trunk/TrunkFin.cfg
0125 | mumech_MJ2_AR202 | MechJeb 2 (AR202 case) | cat=Control | mass=0.000100 t | bulk=srf | engines=- | gimbal=- deg | MechJeb2/Parts/MechJeb2_AR202/part.cfg
0126 | mumech_MJ2_AR202_features1 | MechJeb Features - Maneuver & Translatron | cat=none | mass=0.000010 t | bulk=srf | engines=- | gimbal=- deg | MechJeb2/Parts/MechJeb2_AR202/part.cfg
0127 | mumech_MJ2_AR202_features2 | MechJeb Features - Rover Autopilot | cat=none | mass=0.000010 t | bulk=srf | engines=- | gimbal=- deg | MechJeb2/Parts/MechJeb2_AR202/part.cfg
0128 | mumech_MJ2_AR202_features3 | MechJeb Features - Ascent, Landing, Spaceplane | cat=none | mass=0.000010 t | bulk=srf | engines=- | gimbal=- deg | MechJeb2/Parts/MechJeb2_AR202/part.cfg
0129 | mumech_MJ2_AR202_features4 | MechJeb Features - Rendezvous & Docking | cat=none | mass=0.000010 t | bulk=srf | engines=- | gimbal=- deg | MechJeb2/Parts/MechJeb2_AR202/part.cfg
0130 | nfa-atomic-jet-25-1 | J-N160 'Fireflash' Air-Breathing Nuclear Engine | cat=Engine | mass=12.900000 t | bulk=size2 | engines=AirBreathing 280 kN | gimbal=3 deg | NearFutureAeronautics/Parts/Engine/Atomic/nfa-atomic-jet-25-1.cfg
0131 | nfa-atomic-multimode-25-1 | J-N500 'Project Eeloo' Multimode Nuclear Engine | cat=Engine | mass=14.900000 t | bulk=size2 | engines=AirBreathing 350 kN; ClosedCycle 820 kN | gimbal=2 deg | NearFutureAeronautics/Parts/Engine/Atomic/nfa-atomic-multimode-25-1.cfg
0132 | nfa-turbofan-25-1 | J-90 'Dudley' Heavy Turbofan Engine | cat=Engine | mass=5.775000 t | bulk=size2 | engines=Cruise 380 kN | gimbal=1 deg | NearFutureAeronautics/Parts/Engine/JetEngines/nfa-turbofan-25-1.cfg
0133 | nfa-turbofan-25-2 | J-593 'Arcadia' Turbofan Engine | cat=Engine | mass=6.750000 t | bulk=size2 | engines=Cruise 510 kN; ReverseThrust 260 kN | gimbal=1 deg | NearFutureAeronautics/Parts/Engine/JetEngines/nfa-turbofan-25-2.cfg
0134 | nfa-turbojet-25-1 | JE-X4 'Valkyrie' Turbo Ramjet Engine | cat=Engine | mass=6.750000 t | bulk=size2 | engines=- 540 kN | gimbal=1 deg | NearFutureAeronautics/Parts/Engine/JetEngines/nfa-turbojet-25-1.cfg
0135 | nfa-liftfan-10-1 | HVR-ONE Ultra-Heavy Lift Fan | cat=Propulsion | mass=8.500000 t | bulk=srf | engines=AirBreathing 980 kN; ElectricalDrive 890 kN | gimbal=4 deg | NearFutureAeronautics/Parts/Engine/LiftFans/nfa-liftfan-10-1.cfg
0136 | nfa-liftfan-25-1 | HVR-THREE Lift Fan | cat=Propulsion | mass=2.750000 t | bulk=srf | engines=AirBreathing 370 kN; ElectricalDrive 330 kN | gimbal=2 deg | NearFutureAeronautics/Parts/Engine/LiftFans/nfa-liftfan-25-1.cfg
